id,name,phone,email
passenger_csv_1,Karim Adel,01511111111,karim@example.com
passenger_csv_2,Heba Samir,01522222222,heba@example.com
passenger_csv_3,Tamer Nabil,01533333333,tamer@example.com
passenger_csv_4,Rana Fathy,01544444444,rana@example.com
passenger_csv_5,Mostafa Essam,01555555555,mostafa@example.com
passenger_csv_6,Dina Khaled,01566666666,dina@example.com
passenger_csv_7,Amr Wael,01577777777,amr@example.com
passenger_csv_8,Nour Hany,01588888888,nour@example.com
passenger_csv_9,Bassam Reda,01599999999,bassam@example.com
passenger_csv_10,Lamia Adel,01512312312,lamia@example.com
